date,AQI,CO,NO2,O3,PM10,SO2,气温,本站气压,三小时气压变化量,风速,露点温度,PM2.5
2023/1/1 2:00,36.70833333,0.425,34.83333333,22.33333333,36.95833333,2.416666667,-6.9,775.7,0.5,1,-15.3,18.79166667
2023/1/1 5:00,30.375,0.366666667,27.04166667,26.33333333,30.58333333,2.125,-7.5,776.2,0.5,1,-14.3,15.54166667
2023/1/1 8:00,29,0.354166667,26.33333333,25.79166667,29.125,2.083333333,-5.9,777.4,1.2,1,-14.2,14.875
2023/1/1 11:00,36.41666667,0.379166667,20.25,40.58333333,36.875,3.166666667,1.2,778,0.6,3,-11.5,18.70833333
2023/1/1 14:00,35.45833333,0.325,15.20833333,53.54166667,34.83333333,3.583333333,3.4,776.2,-1.8,3,-12.1,17.58333333
2023/1/1 17:00,35.125,0.320833333,19.79166667,48.875,34.41666667,2.583333333,1.2,776.8,0.6,1,-12.6,16.54166667
2023/1/1 20:00,50,0.533333333,40.54166667,22.45833333,55.33333333,2.458333333,-4.3,778.3,1.5,0,-12.2,27.875
2023/1/1 23:00,38.875,0.404166667,33.54166667,31.625,39.33333333,2.416666667,-5.3,778.9,0.6,1,-11.6,19.29166667
2023/1/2 2:00,21.3125,0.227083333,15.875,48.04166667,15.70833333,1.875,-1.8,779,0.1,2,-16,8
2023/1/2 5:00,18.95833333,0.183333333,11.83333333,50.16666667,12.83333333,1.75,-3.3,778.6,-0.4,3,-16.2,6.5
2023/1/2 8:00,19.125,0.227083333,14.79166667,45.58333333,14.375,1.666666667,-4.5,779.9,1.2,2,-18,7.5
2023/1/2 11:00,21.58333333,0.202083333,9.958333333,55.33333333,18.58333333,2.333333333,-0.6,779.4,-0.5,4,-16.9,9
2023/1/2 14:00,23,0.20625,8.75,60.5,18.83333333,2.583333333,2.2,776.9,-2.4,2,-15.8,9.125
2023/1/2 17:00,25.3125,0.25,16.375,51.66666667,21.6875,2.458333333,1.2,776.3,-0.6,1,-15.3,10.52083333
2023/1/2 20:00,36.41666667,0.370833333,33.5,29.125,38.625,2.25,-4.4,777.1,0.7,1,-14,19.125
2023/1/2 23:00,29.125,0.383333333,29.95833333,29.54166667,29.25,2.166666667,-6.9,776.9,-0.2,1,-13.8,14.75
2023/1/3 2:00,26.66666667,0.352083333,28.375,25.70833333,26.375,2.083333333,-7.1,776.4,-0.4,1,-16.8,13.70833333
2023/1/3 5:00,21.375,0.320833333,23.625,28.58333333,20.20833333,2.25,-7.8,775.4,-1,1,-16.2,11
2023/1/3 8:00,23.79166667,0.404166667,28,23.04166667,23.125,2.041666667,-6.7,775.4,-0.1,1,-17.5,12.25
2023/1/3 11:00,29.83333333,0.391666667,23.33333333,36.58333333,29.33333333,2.583333333,0.2,774.9,-0.4,2,-18,15.25
2023/1/3 14:00,35.89583333,0.35,21.83333333,45.16666667,34.58333333,3.166666667,3.1,772.6,-2.3,2,-16,18
2023/1/3 17:00,44.47916667,0.404166667,35.70833333,32.72916667,45.41666667,3,1.2,772.1,-0.5,1,-14.9,24.875
2023/1/3 20:00,63.4375,0.6625,53.08333333,10.9375,75.375,2.916666667,-4.2,772.9,0.8,0,-14.1,39.25
2023/1/3 23:00,57.47916667,0.654166667,51.45833333,8.0625,66.6875,2.666666667,-6.6,773.5,0.6,1,-13.9,34.875
2023/1/4 2:00,52.33333333,0.616666667,47.16666667,7.173913043,59,2.833333333,-7,773.8,0.3,1,-13.7,32
2023/1/4 5:00,48.29166667,0.570833333,41.95833333,8.47826087,51.75,2.416666667,-6.9,773.3,-0.5,1,-14.4,29.20833333
2023/1/4 8:00,47.125,0.666666667,42.70833333,8.02173913,50.33333333,2.375,-7.7,774.5,1.1,1,-14.1,28.91666667
2023/1/4 11:00,51.41666667,0.616666667,36.33333333,24.375,56.20833333,3.791666667,1.7,774.5,0.1,1,-14.4,30.41666667
2023/1/4 14:00,53.125,0.454166667,30.375,42.58333333,58.29166667,3.708333333,5.2,772.5,-2,1,-12.3,32.79166667
2023/1/4 17:00,67.04166667,0.508333333,44.75,33.75,76.66666667,4.229166667,2.5,772.2,-0.3,2,-11.8,45.25
2023/1/4 20:00,92.91666667,0.75,64.70833333,10.625,106.7083333,3.666666667,-2.8,773,0.7,1,-11.3,67.41666667
2023/1/4 23:00,100.4166667,0.795833333,60.16666667,10.33333333,112,3.5,-4.3,773.4,0.5,1,-10.7,73.875
2023/1/5 2:00,92.33333333,0.775,54.91666667,8.3125,99.79166667,2.833333333,-6.3,773.3,-0.1,0,-10.9,67.625
2023/1/5 5:00,74.20833333,0.766666667,51.41666667,7.291666667,80.33333333,2.791666667,-7.6,772.8,-0.5,1,-11.4,53.375
2023/1/5 8:00,68.66666667,0.779166667,48.41666667,5.104166667,74.91666667,2.166666667,-6,773.2,0.4,1,-10.6,49.08333333
2023/1/5 11:00,77.54166667,0.75,44.33333333,20.20833333,89.58333333,4.125,0.7,773.3,-0.8,1,-9.9,56.29166667
2023/1/5 14:00,107.0416667,0.804166667,53.29166667,32.75,121.5416667,6.833333333,4.6,771.3,-2,2,-9.5,80.125
2023/1/5 17:00,125.4166667,0.916666667,74.79166667,17.91666667,139.0833333,6.166666667,2.2,770.3,-1,2,-9.4,94.58333333
2023/1/5 20:00,156.0416667,1.154166667,83.91666667,6.458333333,174.6666667,4.208333333,-3,770.3,0,0,-9.5,118.8333333
2023/1/5 23:00,156.0833333,1.241666667,78.58333333,6.416666667,170.3333333,3.5,-3.2,769.3,-1,1,-8.8,119.2083333
2023/1/6 2:00,134.375,1.125,72.04166667,5.708333333,145.7916667,4.333333333,-3,768.1,-1.2,1,-8.1,102.3125
2023/1/6 5:00,145.0416667,1.083333333,71.20833333,5.208333333,158.8333333,3.458333333,-3.8,766.6,-1.5,1,-8.8,109.75
2023/1/6 8:00,138,1.133333333,69.5,4.604166667,148.7916667,2.666666667,-4.5,766.5,-0.1,2,-8.6,104.75
2023/1/6 11:00,129.8333333,0.979166667,57.83333333,29.95833333,149,4.625,3.4,766.3,-0.2,2,-8.6,93.54166667
2023/1/6 14:00,58.45833333,0.264583333,13.45833333,66.45833333,67.58333333,2.041666667,8.9,764.7,-1.5,5,-14.8,19.41666667
2023/1/6 17:00,57.91666667,0.16875,9.375,70.54166667,70.875,2.583333333,8.3,765.2,0.5,3,-16.8,7.791666667
2023/1/6 20:00,64.20833333,0.222916667,17.125,56.41666667,80.5,2.666666667,6.9,766.5,1.3,2,-18.8,9.375
2023/1/6 23:00,61.58333333,0.302083333,30.375,37.58333333,74.16666667,2.416666667,0,766.7,0.2,1,-17.2,10.41666667
2023/1/7 2:00,61.04166667,0.358333333,38.375,24.0625,74.5,2.333333333,-3.6,766.3,-0.5,1,-14.7,11.83333333
2023/1/7 5:00,62.13541667,0.3890625,39.22916667,22.25577446,76.31770833,2.440104167,-4.6,766.2,0,1,-14.7,14.18229167
2023/1/7 8:00,63.22916667,0.419791667,40.08333333,20.44904891,78.13541667,2.546875,-3.4,766.9,0.7,2,-12.6,16.53125
2023/1/7 11:00,64.32291667,0.450520833,40.9375,18.64232337,79.953125,2.653645833,2.9,767.1,0.2,1,-13,18.88020833
2023/1/7 14:00,65.41666667,0.48125,41.79166667,16.83559783,81.77083333,2.760416667,6.2,765.1,-2.1,2,-13.4,21.22916667
2023/1/7 17:00,66.51041667,0.511979167,42.64583333,15.02887228,83.58854167,2.8671875,5.2,764.3,-0.7,1,-14.2,23.578125
2023/1/7 20:00,67.60416667,0.542708333,43.5,13.22214674,85.40625,2.973958333,-1.7,765.4,1,1,-13.2,25.92708333
2023/1/7 23:00,68.69791667,0.5734375,44.35416667,11.4154212,87.22395833,3.080729167,-3.5,765,-0.3,1,-12.2,28.27604167
2023/1/8 2:00,69.79166667,0.604166667,45.20833333,9.608695652,89.04166667,3.1875,-2,764.9,-0.1,2,-12.9,30.625
2023/1/8 5:00,65.5625,0.5375,42.45833333,12.08695652,80.70833333,2.458333333,-5.2,764.6,-0.3,1,-12.4,27.66666667
2023/1/8 8:00,69.94791667,0.554166667,38.46875,21.94972826,89.46875,3.25,-4.7,765.7,1,1,-12.1,32.76041667
2023/1/8 11:00,74.33333333,0.570833333,34.47916667,31.8125,98.22916667,4.041666667,8.1,766.4,0.8,3,-12.3,37.85416667
2023/1/8 14:00,55.04166667,0.304166667,17.375,58.5,61.625,2.5,12,765.8,-0.6,3,-10.9,22.29166667
2023/1/8 17:00,46.58333333,0.264583333,18.875,56.83333333,48.66666667,2.125,9.4,767.4,1.6,2,-11.2,17.16666667
2023/1/8 20:00,42.5,0.3375,26.5,42.89583333,43.79166667,2.333333333,2.2,769.7,2.2,1,-10.6,15.95833333
2023/1/8 23:00,25.625,0.239583333,13.83333333,52.625,24.5,1.958333333,5.7,771.4,1.8,3,-12.3,8.208333333
2023/1/9 2:00,21.95833333,0.214583333,14.16666667,53.5625,17.5,1.791666667,3.3,773.1,1.7,1,-16.4,6
2023/1/9 5:00,20.45833333,0.197916667,18.66666667,46.58333333,14.16666667,2.125,-3.5,774.1,0.9,0,-15.2,4.916666667
2023/1/9 8:00,26.20833333,0.325,30.66666667,29.6875,25.04166667,2,-3.2,775.3,1.2,0,-14.3,8.875
2023/1/9 11:00,32.85416667,0.375,20.75,50.1875,33,3.354166667,5.9,776.1,0.9,2,-9.1,13.1875
2023/1/9 14:00,40.14583333,0.385416667,18.16666667,60.375,39.77083333,5.583333333,8.3,774.7,-1.5,2,-14,15.95833333
2023/1/9 17:00,35.9375,0.3,20.08333333,57.25,34.97916667,2.6875,6.2,774.8,0.1,2,-13.4,14.5
2023/1/9 20:00,53.95833333,0.495833333,39.79166667,28.58333333,59.79166667,3.041666667,2.6,775.6,0.8,1,-12.4,24.625
2023/1/9 23:00,56.54166667,0.554166667,43.08333333,18.83333333,65.79166667,3.583333333,0.1,775.6,0,2,-12.2,28.54166667
2023/1/10 2:00,55.5,0.541666667,43.45833333,12.75,63.83333333,3.958333333,-1.6,775,-0.5,2,-11.4,30.25
2023/1/10 5:00,54.375,0.491666667,43.83333333,10.83333333,60.58333333,2.833333333,-3.8,773.9,-1.2,2,-11.3,31.20833333
2023/1/10 8:00,56.58333333,0.6875,47.95833333,6.3125,63.41666667,2.791666667,-5.9,773.7,-0.2,1,-11.2,33.58333333
2023/1/10 11:00,61.125,0.670833333,40,22.08333333,71.16666667,4.791666667,3,772.8,-0.8,1,-10.3,37.29166667
2023/1/10 14:00,59.95833333,0.520833333,36.54166667,41.75,68.625,5.458333333,7.1,769.9,-2.9,3,-15.6,38.20833333
2023/1/10 17:00,53.875,0.45,40.66666667,39.45833333,59.08333333,3.833333333,5.5,769.3,-0.7,1,-15.7,33.33333333
2023/1/10 20:00,72.47916667,0.745833333,63.79166667,12.3125,87.66666667,3.020833333,-1.2,769.3,0,0,-14.4,49.29166667
2023/1/10 23:00,74.45833333,0.841666667,57.625,7.875,90.04166667,3.5,-2.5,769,-0.3,1,-11.2,52.875
2023/1/11 2:00,70.375,0.754166667,52.45833333,7.0625,83.20833333,3.125,-4.5,768.1,-0.9,1,-10.7,49.70833333
2023/1/11 5:00,66.47916667,0.65,48.83333333,7.104166667,77.33333333,2.625,-4.5,767.5,-0.6,1,-10.3,47.375
2023/1/11 8:00,63.52083333,0.679166667,46.45833333,5.833333333,73.91666667,2.458333333,-4.9,767.5,0,1,-10.5,44.875
