date,AQI,CO,NO2,O3,PM10,SO2,气温,本站气压,三小时气压变化量,风速,露点温度,PM2.5
2023/1/1 2:00,139.5,0.79,32.4,30.5,111.5,4.8,5.4,773.7,-0.8,1,4.5,106.1
2023/1/1 5:00,158.7,0.84,29.5,27.7,127.4,5.2,5.3,772.9,-0.7,1,4,120.5
2023/1/1 8:00,169.3,0.87,28.8,22,135.1,5.1,5.5,773.8,0.8,2,3.7,128.3
2023/1/1 11:00,184.7,0.96,28,32,148.2,6.5,7.2,774.4,0.7,2,4,139.2
2023/1/1 14:00,178.6,0.93,27.9,58.7,144.4,8.4,8.6,772.6,-1.9,5,3,134.7
2023/1/1 17:00,199.5,0.99,34.4,40.6,160.5,7.3,7.3,772.7,0.2,2,3.7,151
2023/1/1 20:00,207.8,0.97,37.9,37.6,172.1,6.9,6.4,774.1,1.2,3,3.9,157.9
2023/1/1 23:00,208.2,0.95,34.5,39.3,171.2,7.4,6.5,775.3,1.3,3,3.7,158.2
2023/1/2 2:00,192.45,1.37,28.4,45.5,164.9,8.2,6.3,775,-0.3,4,2,146.1
2023/1/2 5:00,138.7,0.74,22.1,49.2,120,6.4,5.7,774.7,-0.3,5,2.5,105.2
2023/1/2 8:00,147.3,0.68,23.7,40.9,105.8,6.6,5.8,775.6,0.8,5,3.3,114.8
2023/1/2 11:00,132,0.75,27.7,38.3,112,6.2,6.2,776.4,0.9,3,3.7,100.1
2023/1/2 14:00,130.3,0.74,26.3,49.1,113.3,5.1,7.1,774.7,-1.7,4,3.2,98.8
2023/1/2 17:00,140.9,0.83,30.2,54.9,120.2,6,7.3,774.3,-0.4,2,3.2,107.2
2023/1/2 20:00,135.9,0.76,28.6,55,118.7,6.3,6.7,775.5,1.2,3,3.5,103.3
2023/1/2 23:00,144.3,0.72,31.3,43.7,121.5,6.9,6.7,776.2,0.6,4,3.7,110
2023/1/3 2:00,152.4,0.75,30.6,36.7,127.6,6.6,6.5,775.6,-0.5,3,3.8,116.1
2023/1/3 5:00,151.3,0.71,24.6,35.5,126.3,5.6,6.1,774.7,-0.9,3,3.9,115.3
2023/1/3 8:00,157.1,0.83,34.2,18.3,128.9,5.5,4.9,775.6,0.8,2,3.9,119.3
2023/1/3 11:00,134,0.8,24.4,46,125.5,5.5,9.6,775.6,0.2,3,3.1,102.1
2023/1/3 14:00,89,0.63,20.6,82.2,74.9,5,10.8,772.9,-2.7,3,0.8,65.8
2023/1/3 17:00,93.4,0.67,23.8,93.1,77.6,5.1,10.6,771.9,-1,2,2.2,69.5
2023/1/3 20:00,114.4,0.86,48.9,63.6,106.6,5.7,9.1,772.5,0.5,1,2.7,86.3
2023/1/3 23:00,114.2,0.87,48.4,29.9,110.95,5.6,8.1,772.9,0.5,0,3.2,85.95
2023/1/4 2:00,110.8,0.82,46,18.2,101.6,5.1,7.4,772.8,-0.1,0,3.5,83.2
2023/1/4 5:00,110.6,0.82,39.5,28.35,99.6,5.1,6.6,772,-0.8,0,3.9,83.2
2023/1/4 8:00,105,0.83,39.9,18.7,97.5,4.8,5.9,772.3,0.4,0,4.1,78.8
2023/1/4 11:00,102.35,0.77,30.4,54.3,92.6,5.6,10.7,772.6,0.2,2,4,75.8
2023/1/4 14:00,88.5,0.67,23.1,86.7,76.8,4.9,12.1,770.1,-2.4,2,3.1,65.5
2023/1/4 17:00,82.55,0.67,26.9,85.2,77.8,4.6,11.8,769.5,-0.6,2,3.3,61.2
2023/1/4 20:00,121.8,0.83,40.45,66,105.5,5.6,10.3,770.4,0.8,2,3.8,92
2023/1/4 23:00,170.65,0.89,45.5,46.1,140.7,5.4,9.1,771.7,1.4,1,4.3,129.05
2023/1/5 2:00,171.8,0.84,39.3,43.2,146.2,4.9,8.4,771.8,0.1,3,4.4,129.9
2023/1/5 5:00,189.2,0.85,36,30.3,153.6,5.2,7.8,771.4,-0.4,3,4.7,142.9
2023/1/5 8:00,214.6,0.95,38.3,19.2,172.9,5.6,7.5,772.6,1.1,2,5,165.3
2023/1/5 11:00,232.1,1.04,30.4,48.1,197.9,10,11.2,773.1,-0.4,3,4.2,182.1
2023/1/5 14:00,185.8,0.87,25.5,102.3,168.5,7.7,14.3,771.1,-1.9,3,4.9,146.1111111
2023/1/5 17:00,187.2,0.89,28.9,105.4,155.9,6.7,12.5,770.8,-0.4,4,4.5,141.3
2023/1/5 20:00,190.6,0.85,27.2,94.8,165.5,7,10.8,772.3,1.5,3,4.5,143.4
2023/1/5 23:00,226.75,0.89,28.9,69.7,187.45,10.5,10,773.8,1.5,3,3.7,176.75
2023/1/6 2:00,246.4,0.96,27.8,49.7,209.3,7.7,9.5,774,0.2,4,3.9,196.4
2023/1/6 5:00,281.6,1.05,26,40.8,237.8,16.2,8.2,774,0,4,3.5,231.6
2023/1/6 8:00,306.3,1.14,33,24.8,269.5,13.6,6.9,774.7,0.7,2,3.3,256.3
2023/1/6 11:00,288,1.09,32.7,63,274.6,21.5,11.8,775,0.3,1,3.3,238
2023/1/6 14:00,182.6,0.71,21.8,119.3,159.6,7.9,16.4,772.1,-2.8,1,1.7,139.5
