date,AQI,CO,NO2,O3,PM10,SO2,气温,本站气压,三小时气压变化量,风速,露点温度,PM2.5
2023/1/1 2:00,30.63636364,0.809090909,21.09090909,36.36363636,26.36363636,6.454545455,8.3,766.1,-0.2,0,8.3,20.90909091
2023/1/1 5:00,25.77272727,0.777272727,12.5,44,21,6.272727273,7.2,764.9,-0.7,1,7.2,17.31818182
2023/1/1 8:00,23.09090909,0.754545455,17.90909091,34.68181818,17.5,6.227272727,7.9,765.9,0.8,1,7.9,14.36363636
2023/1/1 11:00,23.90909091,0.809090909,22.90909091,34.45454545,22,6.272727273,8.8,767.8,1.3,0,8.8,14.81818182
2023/1/1 14:00,21.45454545,0.7,15.09090909,51.54545455,14.81818182,6.090909091,10.7,764.5,-2.1,2,9.1,14.09090909
2023/1/1 17:00,19.63636364,0.709090909,19.63636364,40.27272727,17.36363636,5.636363636,9.9,764.6,-0.3,2,9.9,12.27272727
2023/1/1 20:00,22.09090909,0.727272727,22.27272727,36.36363636,18.27272727,6.272727273,9.6,765.9,1.1,1,8,13.36363636
2023/1/1 23:00,31.63636364,0.745454545,26.27272727,24.81818182,27.18181818,6.818181818,8.5,767.2,1,1,8.5,21.27272727
2023/1/2 2:00,37.45454545,0.754545455,25.81818182,16.81818182,32.36363636,6.363636364,7.9,766.9,0,1,7.9,25
2023/1/2 5:00,36.54545455,0.781818182,23.72727273,15,30.36363636,17.81818182,6.8,766.4,-0.8,1,6.8,24.18181818
2023/1/2 8:00,35,0.690909091,26.18181818,12.54545455,29.36363636,8.090909091,6.4,767.8,1,0,6.4,23.54545455
2023/1/2 11:00,31.63636364,0.663636364,19.81818182,39.81818182,28.09090909,8.090909091,10.4,768.3,1,1,8.5,21.27272727
2023/1/2 14:00,24.18181818,0.509090909,10.27272727,70.27272727,17.09090909,6.272727273,13.7,765.5,-1.5,4,4.6,15
2023/1/2 17:00,24.09090909,0.463636364,9.636363636,72.36363636,15.81818182,5.454545455,13.5,764.8,-0.9,4,4.6,9.272727273
2023/1/2 20:00,27.27272727,0.590909091,20,52,25.45454545,6.454545455,8.6,767.8,1.1,1,5.2,14.81818182
2023/1/2 23:00,28.09090909,0.654545455,30.18181818,33,27,6.181818182,5.6,768.4,0.7,1,5.6,17.27272727
2023/1/3 2:00,37.09090909,0.772727273,32.90909091,15.72727273,34.72727273,6.272727273,5.5,767.2,-0.1,1,5.5,23.27272727
2023/1/3 5:00,34.63636364,0.809090909,29.45454545,16.45454545,32.90909091,8.454545455,6.4,766.3,-0.6,1,6.4,21.54545455
2023/1/3 8:00,35.18181818,1.181818182,27,22.63636364,32.81818182,8.727272727,7.1,768.3,0.6,1,7.1,23.09090909
2023/1/3 11:00,35.31818182,1,18.54545455,45.13636364,31.5,8.090909091,9.8,769.4,0.8,3,6.5,23.5
2023/1/3 14:00,30.04545455,0.622727273,11.22727273,66.36363636,25.54545455,6.272727273,13.2,765.7,-2.2,3,5.6,19.81818182
2023/1/3 17:00,23.72727273,0.436363636,9.636363636,73.09090909,16.54545455,5.454545455,13.3,763.7,-1.3,3,3.9,9.181818182
2023/1/3 20:00,22.59090909,0.559090909,16.72727273,57.95454545,20.36363636,6.454545455,10.5,765,0.5,2,4.6,13.09090909
2023/1/3 23:00,28.09090909,0.581818182,22.45454545,41.90909091,26.63636364,6.454545455,7.2,766.6,1.1,1,5.3,16.54545455
2023/1/4 2:00,24.90909091,0.609090909,16.81818182,41.63636364,22.27272727,6.454545455,6.8,765.3,-0.3,2,5.7,15.90909091
2023/1/4 5:00,27.45454545,0.845454545,18.09090909,35.36363636,24.90909091,6.909090909,6.7,764.8,-0.3,2,6.4,17.18181818
2023/1/4 8:00,35.09090909,0.827272727,20.27272727,34.45454545,30.54545455,6.909090909,6.8,766.5,0.6,2,5.9,21.18181818
2023/1/4 11:00,27.63636364,0.572727273,13.18181818,52.72727273,24.81818182,5.909090909,10.1,767.5,0.8,4,5.5,17.81818182
2023/1/4 14:00,27.27272727,0.436363636,8.909090909,78.45454545,17.81818182,6.545454545,15.6,763.2,-2.2,4,3.1,13.72727273
2023/1/4 17:00,26.54545455,0.409090909,10.18181818,79.90909091,16,6.454545455,16.8,761.5,-1,3,3.8,10.45454545
2023/1/4 20:00,23.40909091,0.45,16.86363636,57.63636364,21.04545455,6.363636364,11.3,764.4,0.9,2,4.5,11.90909091
2023/1/4 23:00,32.27272727,0.572727273,27.81818182,38.18181818,28.81818182,7.454545455,8.1,765.7,1.2,2,4.9,19
2023/1/5 2:00,35,0.645454545,31.09090909,25.18181818,34.90909091,7.363636364,6.7,764.6,0,1,6.4,23.13636364
2023/1/5 5:00,35.04545455,0.727272727,31.90909091,15.36363636,35.27272727,7.545454545,4.8,764.8,0,1,4.8,22
