date,AQI,CO,NO2,O3,PM10,SO2,气温,本站气压,三小时气压变化量,风速,露点温度,PM2.5
2023/1/1 2:00,296.9333333,1.846666667,84.6,6.2,276.4333333,11.26666667,-0.9,775.2,-0.2,1,-5.1,245
2023/1/1 5:00,289.6,1.866666667,73.96666667,6.033333333,256.3,11.2,-1.7,774.8,-0.4,1,-4.9,239.6
2023/1/1 8:00,262.1666667,1.86,66.4,6.033333333,235.9333333,10.7,-1.8,776,0.9,2,-4,213.0333333
2023/1/1 11:00,286.8666667,2.06,76.63333333,9.533333333,254.7333333,13.06666667,1,777.7,1.5,1,-4.8,237.2666667
2023/1/1 14:00,274.7,1.833333333,79.23333333,24.16666667,254.7,14.83333333,3.2,775.9,-1.5,1,-8.2,225.5666667
2023/1/1 17:00,214.1333333,1.45,66.06666667,43.83333333,196.3666667,14.33333333,3.7,776,0.1,2,-5.5,168.6666667
2023/1/1 20:00,248.9333333,1.436666667,64.36666667,35.66666667,215.6,11.73333333,3.2,777.7,1.6,2,-4.3,201.8666667
2023/1/1 23:00,292.4333333,1.653333333,78.06666667,16.4,258.4666667,11.16666667,1.8,778.3,0.7,1,-3.1,242.4333333
2023/1/2 2:00,274.4,1.593333333,68.26666667,15.56666667,235.1666667,9.766666667,1,778.1,-0.2,1,-2.9,224.4
2023/1/2 5:00,250.7,1.52,63.03333333,14.2,205.4333333,9.066666667,-1.3,777.6,-0.6,1,-3.8,200.7
2023/1/2 8:00,256.5666667,1.676666667,68.9,6.4,214.0666667,9.1,-1.6,778,0.4,1,-4.1,207.8333333
2023/1/2 11:00,245.5,1.826666667,67.86666667,20.76666667,213.9333333,10.8,2.8,778.9,1,2,-3.5,196.3666667
2023/1/2 14:00,234.6666667,1.573333333,66.1,51.96666667,204.5,11.13333333,6.1,776,-2.6,2,-3,185.4
2023/1/2 17:00,198.8666667,1.276666667,55.13333333,70.23333333,165.1333333,10.76666667,5.9,775.5,-0.7,1,-2.4,151.4666667
2023/1/2 20:00,224.8666667,1.51,86.43333333,24.36666667,190.5333333,10.66666667,2.4,776.5,0.8,1,-2.3,176.6666667
2023/1/2 23:00,286.6666667,1.766666667,82.1,18,249.5333333,11.13333333,0.4,776.9,0.5,1,-1.8,235.1
2023/1/3 2:00,277.1333333,1.813333333,72.4,12.46666667,247.4666667,10.36666667,-0.9,776.3,-0.4,1,-5.3,223.7666667
2023/1/3 5:00,253.8333333,1.686666667,67.7,5.9,232.7333333,8.633333333,-2.6,775.3,-1.2,1,-4.5,207
2023/1/3 8:00,256.5333333,2.006666667,62.8,6,232.8333333,8.1,-3.4,775.8,0.3,1,-5.2,207.1333333
2023/1/3 11:00,265.8333333,1.85,65.63333333,15.16666667,226.4333333,9.633333333,1.8,775.6,0,1,-4.5,215.8333333
2023/1/3 14:00,275.8571429,1.76,77.36666667,47.06666667,253.1785714,10.25,5.9,772,-3.2,2,-4.3,225.8571429
2023/1/3 17:00,261.6666667,1.503333333,66,76.3,228.7,9.6,5.7,771.4,-0.7,2,-3.6,211.6666667
2023/1/3 20:00,297.0333333,1.81,96.36666667,27.33333333,268.1666667,9.5,2.1,772.6,0.9,0,-3.6,247.0333333
2023/1/3 23:00,308.6333333,1.996666667,96.76666667,10.46666667,307.2666667,9.733333333,1.9,773.4,1,2,-3.2,258.6333333
2023/1/4 2:00,292.2,1.743333333,76.63333333,13.8,262.8,8.4,0.3,772.4,-0.7,1,-3.1,242.2
2023/1/4 5:00,284.0333333,1.783333333,73.6,6.733333333,247.7333333,8.166666667,-1.2,772.8,0.2,1,-3.6,239.1666667
2023/1/4 8:00,281.6333333,2.156666667,67.26666667,6.266666667,247.7,8.233333333,-1.8,773.6,0.5,1,-3.8,231.6333333
2023/1/4 11:00,290.8,2.103333333,75.8,11.06666667,269.7,9.4,1.8,773.9,0.5,1,-2.3,240.8
2023/1/4 14:00,323.3333333,2.006666667,92.9,29.66666667,302.3,9.433333333,4.9,771.8,-1.9,1,-1.8,273.3333333
2023/1/4 17:00,312.7666667,1.73,91.1,49.83333333,288.2333333,9.5,4.8,771.3,-0.6,1,-1.9,262.7666667
2023/1/4 20:00,325.5333333,2.036666667,120.9666667,10.93333333,322.6,10.33333333,3.3,772.9,1.4,0,-1.8,275.5333333
2023/1/4 23:00,338.2666667,2.026666667,105.9666667,9.866666667,337.6,11.23333333,0.9,773.6,0.8,1,-2.2,288.8666667
2023/1/5 2:00,320.7333333,1.906666667,91.23333333,8.866666667,315.7666667,9.866666667,0.6,773.6,0.1,1,-2.8,270.7333333
2023/1/5 5:00,331.2,1.92,84.46666667,6.466666667,311.3666667,9.566666667,0,773.3,-0.3,1,-3,281.2
2023/1/5 8:00,308.9333333,1.906666667,70.36666667,6.4,290.1666667,8.933333333,-0.9,774.4,0.9,0,-3.1,258.9333333
2023/1/5 11:00,311.7333333,2.083333333,73.46666667,12.93333333,294.2666667,9.666666667,2.9,775.2,0.8,1,-1.5,261.8666667
2023/1/5 14:00,354.4333333,2.15,102.4,45.2,352.9,10.5,7.6,772.8,-2,1,-1.6,305.0333333
2023/1/5 17:00,349.8666667,2.08,111.7666667,63.73333333,345.7333333,10.93333333,7.9,772.3,-0.4,2,-1.9,300
2023/1/5 20:00,360.4,2.003333333,127.5,24.23333333,365.1333333,10.03333333,5.5,775.6,2.8,2,-1,310.6666667
2023/1/5 23:00,328.0666667,1.593333333,70.8,53.16666667,322.5666667,8.3,4.8,776.8,1.4,4,-0.8,278.2666667
2023/1/6 2:00,218.1666667,1.163333333,46.56666667,37,264.4666667,7.933333333,4.4,775.9,-0.5,3,-4.1,167.2
2023/1/6 5:00,161.8,0.84,38.9,29.96666667,254.1,7.133333333,3.4,775.1,-0.8,2,-7.1,95.7
2023/1/6 8:00,139.4333333,0.903333333,52.33333333,14.93333333,228.5333333,7.133333333,2.7,775.3,-0.1,3,-7.8,69.6
2023/1/6 11:00,149.5666667,0.976666667,35.56666667,37.86666667,248.7,12.5,6.7,774.9,-0.1,2,-7,60.56666667
2023/1/6 14:00,125.6333333,0.583333333,23.86666667,66.96666667,199.9333333,8.366666667,12.8,771,-3.4,3,-7.8,39
2023/1/6 17:00,96.06666667,0.483333333,32.4,63.03333333,138.4,9.833333333,13.9,768.7,-2.1,2,-9.3,25.66666667
2023/1/6 20:00,102.7,1.426666667,82.86666667,11,156,13.86666667,10.1,768.7,-0.3,1,-9,45.36666667
2023/1/6 23:00,107.2,1.426666667,78.3,7.266666667,158.6666667,13.53333333,4.7,768.4,-0.4,1,-6.2,60.53333333
2023/1/7 2:00,96,1.33,68.4,5.933333333,142.0666667,10.8,1.8,767.2,-0.9,0,-5.1,59
2023/1/7 5:00,107.1916667,1.37625,70.8875,5.983333333,152.0166667,11.0125,0.4,766.1,-1.1,1,-7.1,69.35
2023/1/7 8:00,118.3833333,1.4225,73.375,6.033333333,161.9666667,11.225,0,766.9,0.4,1,-7.1,79.7
2023/1/7 11:00,129.575,1.46875,75.8625,6.083333333,171.9166667,11.4375,5.7,767,0.2,1,-7.2,90.05
2023/1/7 14:00,140.7666667,1.515,78.35,6.133333333,181.8666667,11.65,12.1,764.2,-2.5,2,-5.9,100.4
2023/1/7 17:00,151.9583333,1.56125,80.8375,6.183333333,191.8166667,11.8625,13.1,763.1,-1,1,-4.5,110.75
2023/1/7 20:00,163.15,1.6075,83.325,6.233333333,201.7666667,12.075,6.8,764.8,1.1,1,-4.3,121.1
2023/1/7 23:00,174.3416667,1.65375,85.8125,6.283333333,211.7166667,12.2875,4.2,765.3,0.7,1,-3.8,131.45
2023/1/8 2:00,185.5333333,1.7,88.3,6.333333333,221.6666667,12.5,2.7,765.8,0.9,2,-5.2,141.8
2023/1/8 5:00,168.2666667,1.396666667,78.73333333,6.2,192.9666667,10.33333333,0,766.3,0.3,1,-4.8,128.2
2023/1/8 8:00,167.8666667,1.505,76.86666667,9.716666667,195.1833333,12.08333333,-1.2,767.8,0.9,0,-4.7,127.1
2023/1/8 11:00,167.4666667,1.613333333,75,13.23333333,197.4,13.83333333,5.3,768.8,1.2,1,-4.8,126
2023/1/8 14:00,176.3333333,1.28,85.1,39.2,201.7666667,15.53333333,11,766.4,-2,2,-4.6,133.1666667
2023/1/8 17:00,168.0333333,1.21,82.3,53.46666667,184.3,13.03333333,11,766.2,-0.4,2,-2.8,127
2023/1/8 20:00,211.7333333,1.703333333,120.8,11.3,233.9,17.06666667,7.1,767.5,0.9,1,-2.9,164.1333333
2023/1/8 23:00,230.4333333,1.93,107.7333333,8.066666667,255.9333333,15.76666667,4.5,768.5,1.3,1,-2.8,181.9
2023/1/9 2:00,208.6666667,1.673333333,90.8,7.166666667,222.9666667,12.23333333,1.3,769.3,0.9,0,-3.4,162.7
2023/1/9 5:00,211,1.536666667,81.5,6.533333333,212.8,10.66666667,0.3,769.6,0.2,1,-4.1,166.8666667
2023/1/9 8:00,191,1.59,73.36666667,6.166666667,199.9,10.46666667,-1.1,771.1,1.2,1,-5.1,148.0333333
2023/1/9 11:00,206.2,1.813333333,78.8,11.96666667,222.2,14.4,4.7,772.3,1.2,2,-4.8,159.2666667
2023/1/9 14:00,227.3666667,1.72,85.36666667,41,258.6333333,17.9,9.2,769.9,-2.2,4,-5.8,179.1
2023/1/9 17:00,194.8666667,1.576666667,67.8,69.63333333,223.5,23.33333333,9.5,769.7,-0.2,2,-5.2,148.2333333
2023/1/9 20:00,218.5333333,1.973333333,93.36666667,28.36666667,232.2333333,20.2,5.9,771,0.9,1,-5.4,170.2
2023/1/9 23:00,244.5333333,2,99.9,8.8,270.6,16.26666667,3.6,771.6,0.8,1,-5.1,195.4666667
2023/1/10 2:00,244.6,1.846666667,85.36666667,10.13333333,258.4666667,12,4.2,771.1,-0.2,3,-7.9,198
2023/1/10 5:00,192.8666667,1.503333333,67.83333333,9.433333333,211.4,10.86666667,2.1,770.5,-0.6,2,-7.5,150.5666667
2023/1/10 8:00,156.1333333,1.49,60.06666667,9.066666667,179.8666667,10.3,1.3,770.9,0.1,2,-7.5,120.5
2023/1/10 11:00,159.0333333,1.353333333,54.73333333,21.96666667,182.7333333,11.8,4,770.7,-0.2,5,-7.4,114.7
2023/1/10 14:00,115.3666667,0.975,40.5,56.4,147.4333333,13.5,7.4,766.9,-3.4,4,-6,84.76666667
2023/1/10 17:00,120.0666667,0.953333333,44.26666667,63.23333333,140.3,13.93333333,7.4,765.5,-1.4,4,-5.3,89.4
2023/1/10 20:00,145.8,1.16,70.06666667,29.16666667,157.0333333,13.76666667,5,765.6,-0.2,1,-4.6,110.4
2023/1/10 23:00,195.1333333,1.49,85.06666667,10.33333333,208.3,14.5,3.5,766,0.6,2,-4.7,149.0666667
2023/1/11 2:00,199.2333333,1.353333333,70.76666667,12.03333333,197.9,11.1,0.8,766,0,1,-4.6,151.5333333
2023/1/11 5:00,201.8666667,1.36,67.6,7.833333333,193.8,10.33333333,0,765.3,-0.7,1,-4.6,154.2333333
2023/1/11 8:00,203.7666667,1.49,64.53333333,5.933333333,200.7,10.03333333,-1.5,765.7,0.1,1,-4.7,156.7
2023/1/11 11:00,200.1,1.71,61.83333333,16.83333333,207.9,12.3,3.6,765.2,-0.3,2,-4.4,152.5
2023/1/11 14:00,176.4,1.353333333,55,44.26666667,185.4333333,12.26666667,6.5,761.8,-3.2,2,-3.4,134.1
2023/1/11 17:00,165.0666667,1.253333333,59.23333333,49.5,169.2,11.43333333,6.5,760.2,-1.6,2,-3.4,126.5666667
2023/1/11 20:00,187.2,1.32,76.16666667,23.56666667,176.0333333,10.46666667,4.5,761.5,1,2,-3.5,142.4333333
2023/1/11 23:00,212.6666667,1.453333333,78.93333333,14.93333333,205.9666667,10.53333333,3.3,760.7,-0.4,1,-3.9,164.5333333
2023/1/12 2:00,224.5666667,1.573333333,75.53333333,7.133333333,216.8,9.933333333,0.9,759.8,-0.9,1,-3.6,175.6333333
2023/1/12 5:00,231.7,1.6,70.53333333,5.866666667,214.1333333,9.466666667,-0.5,759.3,-0.6,0,-4,182.8333333
2023/1/12 8:00,230.2666667,1.583333333,64.2,5.733333333,221.3,9.333333333,-1.1,759.9,0.5,1,-3.9,181.9
2023/1/12 11:00,249.1333333,1.866666667,74.76666667,12.5,245.7,12.06666667,3.7,760.5,0.7,1,-2.1,200.2
2023/1/12 14:00,244.7333333,1.656666667,74.8,47.46666667,248.4333333,11.36666667,7.4,757,-3.1,3,-0.8,195.7333333
2023/1/12 17:00,233.5333333,1.406666667,59.33333333,66.9,220.7,9.9,7.6,756.1,-1,3,1.2,184.8666667
2023/1/12 20:00,253.7,1.48,69.93333333,31.8,234.1,8.266666667,5,757.4,1.1,2,1.1,204.9
2023/1/12 23:00,263.2666667,1.573333333,72.5,13.3,241.5666667,9.033333333,3.5,760.1,2.7,1,1.1,214.0666667
2023/1/13 2:00,284.4,1.516666667,68.33333333,15.1,256.8333333,8.8,4.1,761.6,1.8,1,1.3,235.3333333
2023/1/13 5:00,283.7666667,1.4,47.9,32.56666667,261.5666667,8.766666667,4.4,762.1,0.4,3,-0.4,233.7666667
2023/1/13 8:00,246.4,1.226666667,42.13333333,35.23333333,280.7,9.533333333,5.7,764.2,2,3,-1.7,196.6
2023/1/13 11:00,284.9,0.68,26.36666667,43.86666667,404.9333333,8.3,6.5,767.8,3.3,3,-8.2,58.1
2023/1/13 14:00,486.1333333,0.406666667,15.76666667,55.36666667,838.0333333,5.166666667,4.4,768.3,0.4,5,-7.7,85.43333333
2023/1/13 17:00,451.0333333,0.363333333,15.03333333,54,559.4333333,5.466666667,1.3,771,2.3,4,-4.1,76.73333333
